Player,Try Match 11,Try Match 9,Assist Match 11,Assist Match 9,Breaks Match 11,Breaks Match 9,Metres Match 11,Metres Match 9,Offloads Match 11,Offloads Match 9,Carries Match 11,Carries Match 9,Team,,,,
Alessandro Garbisi,0,0,0,0,1,0,15,0,0,0,7,0,Benetton,,Benetton,3304,3737
Alessandro Izekor,0,0,0,0,1,1,27,25,1,1,9,8,Benetton,,Bulls,4154,4573
Braam Steyn,0,0,0,0,0,0,9,9,1,1,7,7,Benetton,,Cardiff,3043,3427
Carl Wegner,0,0,0,0,0,0,7,7,0,0,8,8,Benetton,,Connacht,3278,3674
Cherif Traore,0,0,0,0,0,0,13,0,2,0,6,0,Benetton,,Dragons,3918,4239
Corniel Els,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,Edinburgh,3737,3737
Dewaldt Duvenage,0,0,0,0,1,1,16,16,0,0,16,16,Benetton,,Glasgow Warriors,3704,4188
Dewi Passarella,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,Leinster,4090,4757
Edoardo Padovani,3,3,0,0,8,8,183,156,3,3,34,29,Benetton,,Lions,2908,3269
Federico Ruzza,3,0,0,0,2,0,108,60,4,3,47,33,Benetton,,Munster,3493,4009
Federico Zani,1,0,0,0,0,0,5,5,0,0,9,7,Benetton,,Ospreys,3112,3420
Filippo Alongi,0,0,0,0,0,0,8,8,0,0,5,5,Benetton,,Scarlets,4129,4615
Filippo Drago,0,0,0,0,1,1,31,31,0,0,6,6,Benetton,,Sharks,3513,3913
Giacomo da Re,0,0,0,0,0,0,66,66,1,1,19,19,Benetton,,Stormers,3538,3806
Giacomo Nicotera,2,1,0,0,0,0,36,21,1,0,35,27,Benetton,,Ulster,3394,3834
Gianmarco Lucchesi,1,1,0,0,0,0,32,32,1,1,33,33,Benetton,,Zebre,3356,3356
Giovanni Pettinelli,0,0,0,0,0,0,42,42,1,1,23,23,Benetton,,,,
Giuliano Avaca,0,0,0,0,0,0,28,28,0,0,7,7,Benetton,,,,
Henry Time-Stowers,0,0,0,0,0,0,33,0,2,0,33,0,Benetton,,,,
Ignacio Mendy,2,2,0,0,5,5,270,270,2,2,47,47,Benetton,,,,
Iliesa Ratuva Tavuyara,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Ivan Nemer,0,0,0,0,1,1,45,45,2,2,28,28,Benetton,,,,
Jacob Umaga,0,0,0,0,3,2,129,99,3,3,14,11,Benetton,,,,
Joaquin Riera,0,0,0,0,3,3,80,80,3,3,25,25,Benetton,,,,
Joey Caputo,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Lapo Frangini,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Leonardo Marin,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Lorenzo Cannone,2,2,0,0,1,1,178,178,1,1,57,57,Benetton,,,,
Manfredi Albanese,1,1,0,0,3,2,65,37,0,0,9,6,Benetton,,,,
Manuel Arroyo,0,0,0,0,0,0,3,3,0,0,5,5,Benetton,,,,
Manuel Zuliani,2,1,0,0,4,3,137,99,4,2,42,32,Benetton,,,,
Marco Lazzaroni,0,0,0,0,0,0,0,0,1,1,3,3,Benetton,,,,
Marco Zanon,1,1,0,0,2,2,107,107,8,8,44,44,Benetton,,,,
Marcus Watson,2,2,0,0,3,3,136,136,1,1,14,14,Benetton,,,,
Matteo Drudi,0,0,0,0,0,0,0,0,0,0,0,0,Benetton,,,,
Matteo Minozzi,0,0,0,0,0,2,22,11,0,2,10,4,Benetton,,,,
Mattia Bellini,1,1,0,0,2,2,105,105,5,5,18,18,Benetton,,,,
Michele Lamaro,0,0,0,0,0,0,73,73,1,1,45,45,Benetton,,,,
Nacho Brex,0,0,0,0,1,1,88,61,5,3,46,32,Benetton,,,,
Nahuel Tetaz Chaparro,0,0,0,0,0,0,4,4,0,0,4,4,Benetton,,,,
Niccolo Cannone,0,0,0,0,1,1,34,34,2,2,28,28,Benetton,,,,
Nicola Piantella,0,0,0,0,0,0,0,0,0,0,1,1,Benetton,,,,
Onisi Ratave,0,0,0,0,1,0,94,10,2,1,18,4,Benetton,,,,
Rhyno Smith,1,1,0,0,1,1,213,213,4,4,29,29,Benetton,,,,
Riccardo Favretto,1,0,0,0,0,0,7,0,1,0,8,2,Benetton,,,,
Sam Hidalgo-Clyne,0,0,0,0,0,0,27,27,2,2,9,9,Benetton,,,,
Scott Scrafton,0,0,0,0,1,1,57,57,1,1,31,31,Benetton,,,,
Sebastian Negri da Ollegio,1,0,0,0,2,0,59,0,3,0,41,0,Benetton,,,,
Simone Ferrari,0,0,0,0,0,0,1,1,0,0,9,9,Benetton,,,,
Thomas Gallo,0,0,0,0,0,0,27,27,0,0,18,18,Benetton,,,,
Tiziano Pasquali,0,0,0,0,0,0,0,0,0,0,4,3,Benetton,,,,
Toa Halafihi,1,1,0,0,1,1,64,64,2,2,33,33,Benetton,,,,
Tomas Albornoz,2,1,0,0,5,3,299,224,2,2,53,43,Benetton,,,,
Tommaso Menoncello,3,2,0,0,7,4,321,229,6,4,47,36,Benetton,,,,
Bernard van der Linde,0,0,0,0,0,0,1,0,0,0,3,0,Bulls,,,,
Bismarck du Plessis,1,1,0,0,0,0,29,29,0,0,23,23,Bulls,,,,
Cameron Hanekom,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Canan Moodie,3,2,0,0,6,4,176,124,3,2,22,12,Bulls,,,,
Carlton Banies,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Chris Smith,0,0,0,0,0,0,135,133,5,5,36,31,Bulls,,,,
Cornal Hendricks,2,2,0,0,7,6,172,156,5,4,36,28,Bulls,,,,
Cyle Brink,0,0,0,0,1,1,44,34,0,0,17,9,Bulls,,,,
David Kriel,3,3,0,0,12,12,525,525,7,7,54,54,Bulls,,,,
Dylan Smith,0,0,0,0,0,0,0,0,0,0,3,3,Bulls,,,,
Elrigh Louw,4,4,0,0,3,3,308,277,6,6,105,90,Bulls,,,,
Embrose Papier,1,1,0,0,3,3,133,125,5,4,28,24,Bulls,,,,
Francois Klopper,0,0,0,0,0,0,16,16,0,0,21,21,Bulls,,,,
Gerhard Steenekamp,0,0,0,0,0,0,37,35,2,2,37,29,Bulls,,,,
Harold Vorster,0,0,0,0,7,5,258,152,4,4,54,41,Bulls,,,,
Jacques du Plessis,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Jacques van Rooyen,0,0,0,0,0,0,5,5,0,0,5,5,Bulls,,,,
James Verity-Amm,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Jan-Hendrik Wessels,3,3,0,0,1,1,50,50,5,5,28,27,Bulls,,,,
Janko Swanepoel,1,1,0,0,1,1,23,23,5,4,22,21,Bulls,,,,
Joe van Zyl,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Johan Goosen,2,1,0,0,5,4,229,181,6,2,38,29,Bulls,,,,
Johan Grobbelaar,1,1,0,0,0,0,45,37,4,2,34,23,Bulls,,,,
Juan Mostert,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Keagan Johannes,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Kurt-Lee Arendse,3,3,0,0,6,4,431,320,9,7,73,47,Bulls,,,,
Lionel Mapoe,0,0,0,0,4,3,169,132,10,7,46,34,Bulls,,,,
Lizo Gqoboka,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Marcell Coetzee,4,4,0,0,1,1,141,141,3,3,65,65,Bulls,,,,
Marco Jansen van Vuren,0,0,0,0,1,1,13,13,1,1,2,2,Bulls,,,,
Marco van Staden,1,0,0,0,0,0,136,106,3,3,70,59,Bulls,,,,
Merwe Olivier,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Mihlali Mosi,0,0,0,0,0,0,11,11,0,0,3,3,Bulls,,,,
Mornay Smith,0,0,0,0,0,0,19,16,1,1,35,25,Bulls,,,,
Morne Steyn,0,0,0,0,0,0,5,5,0,0,4,4,Bulls,,,,
Muller Uys,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Neil le Roux,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Nizaam Carr,2,1,0,0,2,1,36,12,2,0,21,8,Bulls,,,,
Phumzile Maqondwana,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Reinhardt Ludwig,0,0,0,0,0,0,7,7,0,0,3,3,Bulls,,,,
Robert Hunt,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Ruan Nortje,3,3,0,0,4,4,134,129,7,6,79,65,Bulls,,,,
Ruan Vermaak,0,0,0,0,0,0,51,29,1,1,26,11,Bulls,,,,
Sbu Nkosi,0,0,0,0,1,1,132,132,0,0,14,14,Bulls,,,,
Sebastian Lombard,0,0,0,0,0,0,0,0,0,0,1,0,Bulls,,,,
Sidney Tobias,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Simphiwe Matanzima,0,0,0,0,0,0,35,20,3,3,34,26,Bulls,,,,
Stedman Gans,0,0,0,0,1,1,42,42,0,0,13,13,Bulls,,,,
Stravino Jacobs,3,3,0,0,5,5,149,149,1,1,13,13,Bulls,,,,
Tiaan Lange,0,0,0,0,0,0,0,0,0,0,0,0,Bulls,,,,
Walt Steenkamp,0,0,0,0,1,1,27,27,0,0,15,15,Bulls,,,,
Wandisile Simelane,0,0,0,0,2,2,239,239,3,3,25,25,Bulls,,,,
WJ Steenkamp,1,1,0,0,0,0,46,46,0,0,22,22,Bulls,,,,
Zak Burger,3,3,0,0,3,3,145,145,3,3,19,19,Bulls,,,,
Aled Summerhill,1,1,0,0,6,6,192,192,3,3,29,29,Cardiff,,,,
Ben Thomas,1,1,0,0,2,2,157,128,2,2,43,34,Cardiff,,,,
Brad Thyer,0,0,0,0,0,0,1,1,0,0,3,3,Cardiff,,,,
Cam Winnett,0,0,0,0,0,0,0,0,0,0,3,3,Cardiff,,,,
Corey Domachowski,1,0,0,0,1,1,23,21,0,0,19,13,Cardiff,,,,
Dillon Lewis,0,0,0,0,0,0,4,4,1,1,16,16,Cardiff,,,,
Dimitri Arhip,0,0,0,0,0,0,5,5,1,1,16,16,Cardiff,,,,
Efan Daniel,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Ellis Bevan,0,0,0,0,0,0,5,5,1,1,1,1,Cardiff,,,,
Ellis Jenkins,0,0,0,0,0,0,13,0,0,0,2,0,Cardiff,,,,
Gwilym Bradley,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Harri Millard,0,0,0,0,0,0,2,2,0,0,1,1,Cardiff,,,,
Jacob Beetham,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
James Botham,2,2,0,0,2,2,125,125,1,1,52,52,Cardiff,,,,
James Ratti,0,0,0,0,0,0,80,79,0,0,27,26,Cardiff,,,,
Jamie Hill,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Jarrod Evans,0,0,0,0,1,1,213,194,2,1,50,40,Cardiff,,,,
Jason Harries,1,1,0,0,3,3,149,149,0,0,32,32,Cardiff,,,,
Joe Peard,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Josh Adams,4,2,0,0,9,4,304,180,3,1,33,17,Cardiff,,,,
Josh Navidi,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Josh Turnbull,0,0,0,0,0,0,35,30,3,2,64,51,Cardiff,,,,
Keiron Assiratti,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Kirby Myhill,0,0,0,0,0,0,23,23,0,0,12,11,Cardiff,,,,
Kristian Dacey,2,2,0,0,2,2,63,63,1,1,39,39,Cardiff,,,,
Liam Belcher,2,1,0,0,0,0,50,37,2,0,33,17,Cardiff,,,,
Liam Williams,0,0,0,0,1,0,119,53,0,0,17,6,Cardiff,,,,
Lloyd Williams,0,0,0,0,1,0,67,53,0,0,15,13,Cardiff,,,,
Lopeti Timani,0,0,0,0,0,0,91,68,6,5,62,43,Cardiff,,,,
Mason Grady,0,0,0,0,2,1,126,113,1,1,22,20,Cardiff,,,,
Matthew Morgan,0,0,0,0,0,0,70,70,1,1,8,8,Cardiff,,,,
Max Llewellyn,1,1,0,0,6,6,188,188,3,3,35,35,Cardiff,,,,
Olly Robinson,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Owen Lane,1,0,0,0,3,0,18,0,2,0,5,0,Cardiff,,,,
Rey Lee-Lo,0,0,0,0,0,0,64,41,9,8,23,16,Cardiff,,,,
Rhys Barratt,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Rhys Carre,1,1,0,0,2,1,66,54,4,2,48,41,Cardiff,,,,
Rhys Priestland,0,0,0,0,1,1,47,47,5,5,18,18,Cardiff,,,,
Rory Thornton,0,0,0,0,0,0,1,1,0,0,8,8,Cardiff,,,,
Seb Davies,0,0,0,0,1,1,43,42,0,0,31,29,Cardiff,,,,
Shane Lewis-Hughes,1,1,0,0,0,0,28,28,0,0,9,9,Cardiff,,,,
Taulupe Faletau,0,0,0,0,1,1,178,126,6,2,52,36,Cardiff,,,,
Teddy Williams,0,0,0,0,0,0,3,3,0,0,6,6,Cardiff,,,,
Theo Cabango,1,1,0,0,2,2,115,115,0,0,17,17,Cardiff,,,,
Thomas Young,4,4,0,0,6,5,270,233,3,2,55,46,Cardiff,,,,
Tomos Williams,3,0,0,0,2,0,98,0,10,0,33,0,Cardiff,,,,
Uilisi Halaholo,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,,,,
Will Davies-King,0,0,0,0,0,0,7,4,0,0,9,4,Cardiff,,,,
Adam Byrne,0,0,0,0,0,0,8,8,0,0,2,2,Connacht,,,,
Alex Wootton,1,1,0,0,2,2,79,79,0,0,9,9,Connacht,,,,
Bundee Aki,0,0,0,0,0,0,61,61,1,1,18,18,Connacht,,,,
Byron Ralston,1,1,0,0,1,1,101,86,0,0,27,24,Connacht,,,,
Caolin Blade,4,3,0,0,2,1,123,85,1,0,39,30,Connacht,,,,
Cathal Forde,0,0,0,0,0,0,0,0,0,0,0,0,Connacht,,,,
Cian Prendergast,0,0,0,0,1,1,63,56,1,1,32,22,Connacht,,,,
Ciaran Booth,0,0,0,0,0,0,3,3,0,0,2,2,Connacht,,,,
Colm Reilly,0,0,0,0,0,0,14,14,1,1,7,7,Connacht,,,,
Conor Fitzgerald,0,0,0,0,0,0,88,88,0,0,20,20,Connacht,,,,
Conor Oliver,0,0,0,0,2,2,109,104,1,1,64,57,Connacht,,,,
Darragh Murray,0,0,0,0,0,0,0,0,0,0,4,0,Connacht,,,,
Dave Heffernan,0,0,0,0,0,0,124,58,1,1,69,44,Connacht,,,,
David Hawkshaw,2,1,0,0,5,4,193,159,1,1,36,30,Connacht,,,,
Denis Buckley,0,0,0,0,0,0,3,3,0,0,15,15,Connacht,,,,
Diarmuid Kilgallen,0,0,0,0,0,0,91,47,2,2,11,6,Connacht,,,,
Dominic Robertson-McCoy,0,0,0,0,0,0,10,0,0,0,8,0,Connacht,,,,
Dylan Tierney-Martin,2,2,0,0,1,1,48,48,1,1,25,25,Connacht,,,,
Finlay Bealham,2,2,0,0,0,0,23,23,2,2,24,24,Connacht,,,,
Gavin Thornbury,0,0,0,0,0,0,14,14,0,0,15,15,Connacht,,,,
Grant Stewart,0,0,0,0,0,0,14,14,0,0,5,5,Connacht,,,,
Jack Aungier,3,3,0,0,0,0,64,64,3,3,37,37,Connacht,,,,
Jack Carty,0,0,0,0,0,0,113,60,5,4,32,18,Connacht,,,,
Jarrad Butler,1,0,0,0,0,0,92,45,2,2,50,29,Connacht,,,,
John Porch,1,1,0,0,7,7,487,421,6,6,85,70,Connacht,,,,
Jordan Duggan,0,0,0,0,0,0,1,1,0,0,4,4,Connacht,,,,
Josh Murphy,0,0,0,0,0,0,34,34,0,0,36,36,Connacht,,,,
Kieran Marmion,1,1,0,0,3,2,84,69,1,2,21,18,Connacht,,,,
Leva Fifita,0,0,0,0,0,0,11,11,0,0,19,19,Connacht,,,,
Mack Hansen,3,3,0,0,5,5,318,318,11,11,63,63,Connacht,,,,
Matthew Burke,0,0,0,0,0,0,0,0,0,0,0,0,Connacht,,,,
Niall Murray,2,2,0,0,1,1,84,70,2,1,24,16,Connacht,,,,
Oisin Dowling,0,0,0,0,0,0,32,28,0,0,37,29,Connacht,,,,
Oisin McCormack,0,0,0,0,0,0,0,0,0,0,0,0,Connacht,,,,
Oran McNulty,0,0,0,0,0,0,68,68,0,0,15,15,Connacht,,,,
Paul Boyle,2,2,0,0,1,1,100,100,2,2,54,54,Connacht,,,,
Peter Dooley,0,0,0,0,0,0,23,14,4,3,41,29,Connacht,,,,
Sam Illo,0,0,0,0,0,0,6,4,0,0,5,4,Connacht,,,,
Sean Masterson,0,0,0,0,0,0,0,0,0,0,0,0,Connacht,,,,
Shamus Hurley-Langton,0,0,0,0,0,0,22,17,1,1,33,23,Connacht,,,,
Shane Delahunt,0,0,0,0,0,0,15,5,1,1,8,5,Connacht,,,,
Shane Jennings,0,0,0,0,0,0,0,0,0,0,0,0,Connacht,,,,
Shayne Bolton,0,0,0,0,0,0,0,0,0,0,0,0,Connacht,,,,
Tiernan O'Halloran,0,0,0,0,0,0,189,78,2,1,33,17,Connacht,,,,
Tom Daly,0,0,0,0,0,0,26,24,0,0,21,14,Connacht,,,,
Tom Farrell,1,0,0,0,5,4,340,236,9,6,78,54,Connacht,,,,
Aaron Wainwright,1,1,0,0,5,4,219,172,2,2,55,44,Dragons,,,,
Aki Seiuli,1,1,0,0,1,1,87,71,3,2,42,36,Dragons,,,,
Aneurin Owen,0,0,0,0,0,0,5,5,0,0,3,3,Dragons,,,,
Angus O'Brien,3,2,0,0,4,3,480,411,6,5,82,73,Dragons,,,,
Ashton Hewitt,0,0,0,0,2,0,178,48,1,0,21,9,Dragons,,,,
Ben Carter,0,0,0,0,0,0,28,28,0,0,33,33,Dragons,,,,
Ben Fry,0,0,0,0,1,1,76,58,6,4,33,24,Dragons,,,,
Bradley Roberts,2,2,0,0,3,2,175,137,0,0,57,43,Dragons,,,,
Che Hope,1,1,0,0,1,1,17,17,0,0,2,1,Dragons,,,,
Chris Coleman,0,0,0,0,0,0,20,18,0,0,19,15,Dragons,,,,
Cory Allen,0,0,0,0,0,0,0,0,0,0,0,0,Dragons,,,,
David Richards,2,2,0,0,2,2,75,75,1,1,12,12,Dragons,,,,
Elliot Dee,1,1,0,0,0,0,37,37,1,1,35,35,Dragons,,,,
Ellis Shipp,0,0,0,0,0,0,5,5,0,0,1,1,Dragons,,,,
George Nott,0,0,0,0,0,0,27,0,3,0,25,0,Dragons,,,,
Gonzalo Bertranou,0,0,0,0,2,2,19,19,2,2,8,8,Dragons,,,,
Harri Keddie,0,0,0,0,3,3,97,97,3,3,25,25,Dragons,,,,
Huw Taylor,0,0,0,0,0,0,3,3,1,1,5,5,Dragons,,,,
Ioan Davies,0,0,0,0,0,0,0,0,0,0,0,0,Dragons,,,,
Jack Dixon,0,0,0,0,1,1,117,117,4,4,58,58,Dragons,,,,
James Benjamin,1,1,0,0,1,1,26,26,2,2,9,9,Dragons,,,,
Jared Rosser,0,0,0,0,4,4,165,165,2,2,29,29,Dragons,,,,
JJ Hanrahan,1,1,0,0,1,1,116,88,3,2,35,24,Dragons,,,,
Joe Davies,0,0,0,0,0,0,11,6,0,0,11,3,Dragons,,,,
Jordan Williams,1,1,0,0,3,3,169,169,4,4,13,13,Dragons,,,,
Josh Reynolds,0,0,0,0,0,0,0,0,0,0,0,0,Dragons,,,,
Lennon Greggains,0,0,0,0,0,0,0,0,0,0,0,0,Dragons,,,,
Leon Brown,0,0,0,0,0,0,0,0,0,0,0,0,Dragons,,,,
Lewis Jones,1,0,0,0,1,1,49,38,2,1,17,9,Dragons,,,,
Lloyd Fairbrother,0,0,0,0,0,0,6,6,1,1,34,34,Dragons,,,,
Matthew Screech,0,0,0,0,0,0,11,8,2,1,18,12,Dragons,,,,
Max Clark,0,0,0,0,3,3,68,68,4,4,20,20,Dragons,,,,
Ollie Griffiths,0,0,0,0,0,0,0,0,0,0,0,0,Dragons,,,,
Rhodri Jones,0,0,0,0,0,0,11,11,0,0,10,10,Dragons,,,,
Rhodri Williams,1,1,0,0,4,4,102,102,5,5,29,29,Dragons,,,,
Rio Dyer,5,4,0,0,11,7,495,415,6,6,51,41,Dragons,,,,
Rob Evans,0,0,0,0,0,0,15,10,1,1,15,9,Dragons,,,,
Ross Moriarty,0,0,0,0,1,1,346,247,3,3,90,70,Dragons,,,,
Sam Davies,0,0,0,0,1,1,80,76,5,5,26,22,Dragons,,,,
Sean Lonsdale,0,0,0,0,1,1,73,73,2,2,29,29,Dragons,,,,
Sio Tomkinson,1,1,0,0,1,0,188,163,8,5,50,41,Dragons,,,,
Steff Hughes,2,2,0,0,5,4,162,136,2,2,53,39,Dragons,,,,
Taine Basham,0,0,0,0,0,0,84,65,5,5,36,29,Dragons,,,,
Will Reed,0,0,0,0,0,0,27,27,0,0,8,8,Dragons,,,,
Will Rowlands,0,0,0,0,0,0,49,49,2,2,47,47,Dragons,,,,
Adam McBurney,2,2,0,0,2,2,58,58,1,1,8,8,Edinburgh,,,,
Angus Williams,0,0,0,0,0,0,3,3,0,0,14,12,Edinburgh,,,,
Ben Evans,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Ben Muncaster,2,2,0,0,1,1,107,107,3,3,43,43,Edinburgh,,,,
Ben Vellacott,1,1,0,0,1,1,41,41,2,2,10,10,Edinburgh,,,,
Blair Kinghorn,1,1,0,0,4,4,195,149,3,2,32,26,Edinburgh,,,,
Boan Venter,0,0,0,0,0,0,86,72,0,0,54,45,Edinburgh,,,,
Bruce Houston,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Cameron Scott,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Cammy Hutchison,0,0,0,0,0,0,3,0,0,0,1,0,Edinburgh,,,,
Charlie Savala,1,1,0,0,1,1,70,64,7,6,25,18,Edinburgh,,,,
Charlie Shiel,0,0,0,0,1,1,12,12,0,0,6,6,Edinburgh,,,,
Chris Dean,2,2,0,0,4,4,209,209,4,4,48,48,Edinburgh,,,,
Connor Boyle,1,0,0,0,0,0,8,0,0,0,10,0,Edinburgh,,,,
Damien Hoyland,2,2,0,0,2,2,82,82,1,1,25,25,Edinburgh,,,,
Darcy Graham,9,9,0,0,13,13,500,500,1,1,44,44,Edinburgh,,,,
Dave Cherry,1,1,0,0,0,0,21,21,0,0,13,13,Edinburgh,,,,
Duhan van der Merwe,2,2,0,0,4,3,172,108,6,3,26,15,Edinburgh,,,,
Emiliano Boffelli,1,1,0,0,4,3,202,119,3,0,35,22,Edinburgh,,,,
Glen Young,1,1,0,0,0,0,14,14,0,0,17,17,Edinburgh,,,,
Grant Gilchrist,0,0,0,0,0,0,19,4,1,0,34,22,Edinburgh,,,,
Hamish Watson,0,0,0,0,0,0,31,31,6,6,22,22,Edinburgh,,,,
Harrison Courtney,1,1,0,0,0,0,35,35,0,0,11,11,Edinburgh,,,,
Harry Paterson,0,0,0,0,0,0,75,0,0,0,10,0,Edinburgh,,,,
