Player,Try Match 11,Try Match 9,Assist Match 11,Assist Match 9,Breaks Match 11,Breaks Match 9,Metres Match 11,Metres Match 9,Offloads Match 11,Offloads Match 9,Carries Match 11,Carries Match 9,Team,,,,
Henry Immelman,3,3,0,0,2,2,257,257,3,3,56,56,Edinburgh,,,,
Henry Pyrgos,0,0,0,0,0,0,32,21,2,1,14,10,Edinburgh,,,,
Jack Blain,0,0,0,0,0,0,0,0,1,1,1,1,Edinburgh,,,,
Jaco van der Walt,0,0,0,0,0,0,33,33,0,0,9,9,Edinburgh,,,,
Jacob Henry,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
James Lang,0,0,0,0,3,2,224,159,3,3,62,47,Edinburgh,,,,
Jamie Campbell,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Jamie Hodgson,1,1,0,0,0,0,11,11,0,0,14,14,Edinburgh,,,,
Jamie Ritchie,2,0,0,0,1,0,98,32,1,0,56,28,Edinburgh,,,,
Karl Main,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Kwagga van Niekerk,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Lee-Roy Atalifo,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Liam McConnell,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Luan de Bruin,0,0,0,0,0,0,14,14,1,1,17,17,Edinburgh,,,,
Luke Crosbie,3,2,0,0,2,2,141,121,2,2,71,59,Edinburgh,,,,
Mark Bennett,0,0,0,0,2,2,183,164,7,7,39,34,Edinburgh,,,,
Marshall Sykes,0,0,0,0,0,0,18,17,0,0,26,20,Edinburgh,,,,
Matt Currie,1,1,0,0,2,2,44,44,0,0,14,14,Edinburgh,,,,
Nick Auterac,0,0,0,0,0,0,0,0,0,0,1,1,Edinburgh,,,,
Nick Haining,0,0,0,0,0,0,88,88,4,4,58,58,Edinburgh,,,,
Pierce Phillips,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Pierre Schoeman,2,2,0,0,1,1,39,35,0,0,49,41,Edinburgh,,,,
Roan Frostwick,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Rudi Brown,0,0,0,0,0,0,0,0,0,0,0,0,Edinburgh,,,,
Sam Skinner,1,1,0,0,1,1,12,12,2,2,29,26,Edinburgh,,,,
Stuart McInally,0,0,0,0,1,1,56,56,1,1,16,16,Edinburgh,,,,
Tom Cruse,0,0,0,0,0,0,10,2,1,0,6,2,Edinburgh,,,,
Viliame Mata,1,1,0,0,2,1,366,128,5,5,122,93,Edinburgh,,,,
Wes Goosen,1,1,0,0,1,1,134,134,1,1,19,19,Edinburgh,,,,
Willem Nel,1,1,0,0,0,0,34,31,0,0,21,16,Edinburgh,,,,
Alex Samuel,0,0,0,0,1,1,29,29,1,1,16,16,Glasgow Warriors,,,,
Ali Price,0,0,0,0,2,2,65,50,3,3,19,15,Glasgow Warriors,,,,
Allan Dell,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Ally Miller,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Cole Forbes,1,1,0,0,4,4,207,207,4,4,34,34,Glasgow Warriors,,,,
Domingo Miotti,1,1,0,0,2,2,20,20,1,1,7,7,Glasgow Warriors,,,,
Duncan Weir,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Enrique Pieretto Heiland,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Euan Ferrie,0,0,0,0,1,1,41,41,0,0,4,4,Glasgow Warriors,,,,
Fraser Brown,3,3,0,0,0,0,77,70,5,4,61,47,Glasgow Warriors,,,,
George Horne,3,2,0,0,8,5,234,172,4,4,44,36,Glasgow Warriors,,,,
George Turner,0,0,0,0,0,0,47,42,0,0,28,23,Glasgow Warriors,,,,
Gregor Brown,0,0,0,0,0,0,35,35,2,2,22,22,Glasgow Warriors,,,,
Huw Jones,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Jack Dempsey,1,0,0,0,1,1,148,122,7,7,57,41,Glasgow Warriors,,,,
Jamie Bhatti,0,0,0,0,0,0,16,8,0,0,36,25,Glasgow Warriors,,,,
Jamie Dobie,0,0,0,0,1,1,17,17,1,1,5,5,Glasgow Warriors,,,,
Joel Hodgson,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Jonny Matthews,2,2,0,0,0,0,11,11,0,0,10,10,Glasgow Warriors,,,,
Josh McKay,1,1,0,0,3,3,262,262,10,10,36,36,Glasgow Warriors,,,,
JP du Preez,0,0,0,0,0,0,27,26,1,1,15,12,Glasgow Warriors,,,,
Kyle Steyn,1,0,0,0,4,3,222,141,3,3,45,33,Glasgow Warriors,,,,
Lewis Bean,0,0,0,0,0,0,10,2,0,0,27,11,Glasgow Warriors,,,,
Lucio Sordoni,0,0,0,0,0,0,12,0,0,0,13,0,Glasgow Warriors,,,,
Matt Fagerson,3,2,0,0,0,0,58,45,1,1,49,32,Glasgow Warriors,,,,
Murphy Walker,0,0,0,0,0,0,21,21,0,0,12,12,Glasgow Warriors,,,,
Nathan McBeth,0,0,0,0,0,0,4,4,0,0,2,2,Glasgow Warriors,,,,
Oli Kebble,1,1,0,0,1,1,81,81,3,3,31,31,Glasgow Warriors,,,,
Ollie Smith,0,0,0,0,2,2,89,66,1,0,24,13,Glasgow Warriors,,,,
Richie Gray,0,0,0,0,0,0,43,25,1,0,46,33,Glasgow Warriors,,,,
Rory Darge,0,0,0,0,0,0,3,3,0,0,1,1,Glasgow Warriors,,,,
Ross Thompson,0,0,0,0,0,0,1,1,0,0,2,2,Glasgow Warriors,,,,
Rufus McLean,1,1,0,0,1,1,67,67,0,0,18,18,Glasgow Warriors,,,,
Ryan Wilson,0,0,0,0,1,1,19,19,2,2,7,7,Glasgow Warriors,,,,
Sam Johnson,0,0,0,0,0,0,87,87,1,1,22,22,Glasgow Warriors,,,,
Scott Cummings,1,1,0,0,0,0,8,8,3,3,17,17,Glasgow Warriors,,,,
Sean Kennedy,0,0,0,0,1,1,31,31,2,2,3,3,Glasgow Warriors,,,,
Sebastian Cancelliere,4,4,0,0,12,10,438,390,11,10,76,60,Glasgow Warriors,,,,
Simon Berghan,0,0,0,0,0,0,6,1,2,0,15,5,Glasgow Warriors,,,,
Sintu Manjezi,1,1,0,0,1,1,41,41,1,1,29,29,Glasgow Warriors,,,,
Sione Tuipulotu,0,0,0,0,3,2,243,176,6,4,66,55,Glasgow Warriors,,,,
Sione Vailanu,2,2,0,0,2,1,198,129,5,4,51,31,Glasgow Warriors,,,,
Stafford McDowall,3,3,0,0,5,4,306,225,5,5,73,59,Glasgow Warriors,,,,
Tom Gordon,4,4,0,0,2,2,116,116,0,0,26,26,Glasgow Warriors,,,,
Tom Jordan,1,0,0,0,2,0,328,233,8,6,62,50,Glasgow Warriors,,,,
Walter Fifita,0,0,0,0,0,0,0,0,0,0,0,0,Glasgow Warriors,,,,
Zander Fagerson,2,2,0,0,0,0,36,36,1,1,38,38,Glasgow Warriors,,,,
Aitzol King,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Alex Soroka,0,0,0,0,0,0,3,0,1,0,5,0,Leinster,,,,
Andrew Porter,2,2,0,0,0,0,45,38,0,0,47,37,Leinster,,,,
Andrew Smith,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Ben Brownlee,0,0,0,0,0,0,12,12,0,0,1,1,Leinster,,,,
Ben Murphy,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Brian Deeny,1,0,0,0,0,0,16,5,0,0,8,3,Leinster,,,,
Caelan Doris,0,0,0,0,4,3,133,84,4,2,39,29,Leinster,,,,
Charlie Ngatai,0,0,0,0,3,1,162,131,6,5,40,35,Leinster,,,,
Charlie Tector,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Chris Cosgrave,1,1,0,0,1,1,99,99,1,1,12,12,Leinster,,,,
Cian Healy,0,0,0,0,0,0,7,7,0,0,12,12,Leinster,,,,
Ciaran Frawley,0,0,0,0,1,1,57,57,2,2,12,12,Leinster,,,,
Cormac Foley,1,1,0,0,1,1,98,81,2,2,13,12,Leinster,,,,
Dan Sheehan,6,6,0,0,3,3,132,132,0,0,54,54,Leinster,,,,
Dave Kearney,2,2,0,0,1,1,103,103,0,0,21,21,Leinster,,,,
Diarmuid Mangan,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Ed Byrne,0,0,0,0,1,1,42,42,3,3,22,22,Leinster,,,,
Garry Ringrose,4,4,0,0,8,8,198,198,7,7,40,40,Leinster,,,,
Harry Byrne,0,0,0,0,1,0,33,16,1,0,77,5,Leinster,,,,
Hugo Keenan,0,0,0,0,2,2,103,103,1,1,12,12,Leinster,,,,
Jack Boyle,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Jack Conan,0,0,0,0,0,0,50,50,0,0,34,34,Leinster,,,,
James Culhane,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
James Lowe,1,1,0,0,1,1,21,21,0,0,9,9,Leinster,,,,
James Ryan,0,0,0,0,0,0,44,20,0,0,40,26,Leinster,,,,
James Tracy,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Jamie Osborne,0,0,0,0,2,2,196,172,8,3,35,27,Leinster,,,,
Jamison Gibson-Park,4,0,0,0,0,0,45,10,0,0,10,4,Leinster,,,,
Jason Jenkins,2,2,0,0,1,1,86,86,1,1,46,46,Leinster,,,,
Jimmy O'Brien,0,0,0,0,4,3,315,202,8,5,58,39,Leinster,,,,
Joe McCarthy,0,0,0,0,0,0,35,35,0,0,13,13,Leinster,,,,
John McKee,2,2,0,0,0,0,35,29,0,1,12,11,Leinster,,,,
Johnny Sexton,1,0,0,0,0,0,71,0,6,0,19,0,Leinster,,,,
Jordan Larmour,2,0,0,0,1,0,200,0,2,0,38,0,Leinster,,,,
Josh van der Flier,2,1,0,0,3,2,135,95,4,4,34,25,Leinster,,,,
Lee Barron,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Liam Turner,1,0,0,0,3,2,143,116,2,2,19,15,Leinster,,,,
Luke McGrath,3,3,0,0,2,2,189,189,2,2,38,38,Leinster,,,,
Marcus Hanan,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Martin Moloney,0,0,0,0,0,0,17,17,1,1,14,14,Leinster,,,,
Max Deegan,0,0,0,0,1,1,149,149,0,0,42,42,Leinster,,,,
Max O'Reilly,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Michael Ala'alatoa,0,0,0,0,0,0,16,0,0,0,36,0,Leinster,,,,
Michael Milne,1,0,0,0,0,0,44,17,1,0,20,8,Leinster,,,,
Nick McCarthy,0,0,0,0,1,1,17,17,0,0,4,4,Leinster,,,,
Rhys Ruddock,2,2,0,0,0,0,32,32,0,0,23,23,Leinster,,,,
Rob Russell,7,6,0,0,9,8,368,280,6,4,57,43,Leinster,,,,
Robbie Henshaw,1,1,0,0,1,1,115,115,3,3,45,45,Leinster,,,,
Ronan Kelleher,1,1,0,0,0,0,75,54,3,2,33,25,Leinster,,,,
Rory McGuire,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Ross Byrne,0,0,0,0,1,1,114,114,6,6,26,26,Leinster,,,,
Ross Molony,0,0,0,0,0,0,35,35,3,3,46,46,Leinster,,,,
Ryan Baird,2,1,0,0,2,1,105,54,2,2,50,40,Leinster,,,,
Sam Prendergast,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Scott Penny,2,1,0,0,3,1,148,82,4,2,43,26,Leinster,,,,
Sean O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Tadgh McElroy,0,0,0,0,0,0,1,1,0,0,1,1,Leinster,,,,
Tadhg Furlong,0,0,0,0,0,0,4,4,0,0,9,9,Leinster,,,,
Temi Lasisi,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Thomas Clarkson,1,1,0,0,0,0,10,10,0,0,7,7,Leinster,,,,
Tommy O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,Leinster,,,,
Vakh Abdaladze,0,0,0,0,0,0,13,6,0,0,13,5,Leinster,,,,
Will Connors,0,0,0,0,0,0,19,19,0,0,18,18,Leinster,,,,
Andre Warner,0,0,0,0,1,1,24,24,0,0,2,2,Lions,,,,
Andries Coetzee,2,2,0,0,3,3,313,313,9,9,44,44,Lions,,,,
Asenathi Ntlabakanye,0,0,0,0,0,0,23,2,0,0,10,1,Lions,,,,
Darrien Landsberg,0,0,0,0,0,0,7,7,0,0,9,9,Lions,,,,
Edwill van der Merwe,2,1,0,0,4,3,305,192,1,1,36,27,Lions,,,,
Emmanuel Tshituka,3,3,0,0,3,3,205,171,9,6,82,67,Lions,,,,
Francke Horn,5,5,0,0,4,4,228,228,2,2,49,49,Lions,,,,
Gianni Lombard,0,0,0,0,0,0,19,19,1,1,3,3,Lions,,,,
Henco van Wyk,3,2,0,0,8,7,229,200,1,1,40,38,Lions,,,,
Ilunga Mukendi,0,0,0,0,0,0,0,0,0,0,0,0,Lions,,,,
Jaco Kriel,1,1,0,0,1,1,18,18,1,1,4,4,Lions,,,,
Jaco Visagie,0,0,0,0,1,0,34,13,1,1,14,9,Lions,,,,
James Tedder,0,0,0,0,0,0,0,0,0,0,0,0,Lions,,,,
Jean-Pierre Smith,1,1,0,0,2,2,74,54,4,3,34,23,Lions,,,,
Jordan Hendrikse,1,1,0,0,3,2,156,94,3,2,37,23,Lions,,,,
Manuel Rass,0,0,0,0,0,0,21,0,0,0,4,0,Lions,,,,
Marius Louw,1,1,0,0,2,2,198,175,9,9,68,57,Lions,,,,
Matt More,0,0,0,0,0,0,0,0,0,0,0,0,Lions,,,,
Morgan Naude,0,0,0,0,0,0,0,0,0,0,2,0,Lions,,,,
Morne Brandon,0,0,0,0,0,0,0,0,0,0,0,0,Lions,,,,
Morne van den Berg,1,1,0,0,3,2,76,46,4,3,16,11,Lions,,,,
Pieter Jansen van Vuren,0,0,0,0,0,0,25,17,1,1,34,23,Lions,,,,
PJ Botha,1,1,0,0,0,0,65,65,0,0,44,40,Lions,,,,
Quan Horn,2,2,0,0,4,4,265,216,2,2,54,36,Lions,,,,
Rabz Maxwane,1,1,0,0,2,1,57,42,1,1,5,4,Lions,,,,
Reinhard Nothnagel,0,0,0,0,0,0,13,13,0,0,24,24,Lions,,,,
Ruan Dreyer,0,0,0,0,0,0,20,20,1,1,26,26,Lions,,,,
Ruan Smith,0,0,0,0,0,0,39,39,4,3,33,24,Lions,,,,
Ruan Venter,0,0,0,0,0,0,0,133,0,3,0,52,Lions,,,,
Ruben Schoeman,0,0,0,0,1,1,31,28,0,0,18,15,Lions,,,,
Ruhan Straeuli,1,1,0,0,1,1,68,68,2,2,23,23,Lions,,,,
Sanele Nohamba,1,1,0,0,5,4,168,131,6,6,21,16,Lions,,,,
Sango Xamlashe,0,0,0,0,0,0,21,21,1,1,7,7,Lions,,,,
Sibusiso Sangweni,0,0,0,0,2,2,72,70,1,1,26,24,Lions,,,,
Stean Pienaar,0,0,0,0,0,0,26,26,0,0,4,4,Lions,,,,
Sti Sithole,0,0,0,0,0,0,6,6,0,0,16,16,Lions,,,,
Tiaan Swanepoel,0,0,0,0,0,0,0,0,0,0,0,0,Lions,,,,
Willem Alberts,0,0,0,0,0,0,8,4,1,1,13,7,Lions,,,,
Zander du Plessis,0,0,0,0,0,0,94,94,2,2,16,16,Lions,,,,
Alex Kendellen,0,0,0,0,1,0,109,84,1,1,47,26,Munster,,,,
Andrew Conway,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Antoine Frisch,0,0,0,0,4,4,106,81,9,4,33,19,Munster,,,,
Ben Healy,2,1,0,0,3,3,84,66,4,4,30,28,Munster,,,,
Calvin Nash,2,2,0,0,5,5,167,167,3,3,26,26,Munster,,,,
Chris Farrell,0,0,0,0,0,0,10,10,0,0,3,3,Munster,,,,
Chris Moore,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Cian Hurley,0,0,0,0,0,0,1,1,0,0,2,2,Munster,,,,
Conor Murray,0,0,0,0,0,0,5,0,0,0,7,2,Munster,,,,
Conor Phillips,0,0,0,0,0,0,17,17,1,1,10,10,Munster,,,,
Craig Casey,1,1,0,0,0,0,59,59,3,3,26,26,Munster,,,,
Dan Goggin,0,0,0,0,0,0,114,114,0,0,36,36,Munster,,,,
Daniel Okeke,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Darragh McSweeney,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Dave Kilcoyne,0,0,0,0,0,0,66,53,1,1,13,37,Munster,,,,
Diarmuid Barron,0,0,0,0,1,1,98,98,3,3,26,26,Munster,,,,
Edwin Edogbo,0,0,0,0,0,0,8,8,0,0,14,14,Munster,,,,
Eoin O'Connor,0,0,0,0,0,0,4,4,0,0,6,6,Munster,,,,
Ethan Coughlan,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Evan O'Connell,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Fineen Wycherley,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Fionn Gibbons,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Gavin Coombes,4,3,0,0,2,0,168,110,6,3,201,52,Munster,,,,
Jack Crowley,0,0,0,0,3,2,188,145,10,7,55,42,Munster,,,,
Jack Daly,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Jack O'Donoghue,0,0,0,0,0,0,146,125,6,4,64,42,Munster,,,,
Jack O'Sullivan,1,1,0,0,0,0,67,67,1,1,24,24,Munster,,,,
James French,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Jean Kleyn,0,0,0,0,1,1,57,43,3,3,58,35,Munster,,,,
Jeremy Loughman,1,1,0,0,0,0,32,32,1,1,25,25,Munster,,,,
Joey Carbery,1,1,0,0,1,1,122,122,3,3,26,26,Munster,,,,
John Hodnett,0,0,0,0,2,2,113,113,3,3,35,35,Munster,,,,
John Ryan,1,1,0,0,0,0,10,10,0,0,9,9,Munster,,,,
Josh Wycherley,0,0,0,0,0,0,2,2,0,0,11,6,Munster,,,,
Keith Earls,0,0,0,0,0,0,53,3,4,1,16,3,Munster,,,,
Keynan Knox,1,1,0,0,0,0,25,25,2,2,20,20,Munster,,,,
Kieran Ryan,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Kiran McDonald Seran,0,0,0,0,0,0,10,0,0,0,10,0,Munster,,,,
Liam Coombes,1,1,0,0,3,3,140,140,2,2,30,30,Munster,,,,
Liam O'Connor,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Malakai Fekitoa,0,0,0,0,1,1,198,166,6,4,59,47,Munster,,,,
Mark Donnelly,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Mike Haley,0,0,0,0,2,0,283,189,6,4,61,43,Munster,,,,
Neil Cronin,0,0,0,0,0,0,15,15,0,0,1,1,Munster,,,,
Niall Scannell,3,3,0,0,1,0,89,53,1,1,61,36,Munster,,,,
Oli Morris,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Paddy Kelly,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Paddy Patterson,1,0,0,0,1,0,71,69,6,5,31,25,Munster,,,,
Patrick Campbell,2,1,0,0,2,1,161,142,1,1,29,25,Munster,,,,
Peter O'Mahony,0,0,0,0,0,0,28,28,2,2,17,17,Munster,,,,
RG Snyman,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Roman Salanoa,1,1,0,0,0,0,26,19,0,0,24,15,Munster,,,,
Rory Scannell,1,1,0,0,0,0,51,51,3,3,28,28,Munster,,,,
Ruadhan Quinn,0,0,0,0,1,1,46,46,0,0,6,6,Munster,,,,
Scott Buckley,0,0,0,0,0,0,7,6,2,2,12,8,Munster,,,,
Shane Daly,1,1,0,0,4,3,314,213,4,4,67,45,Munster,,,,
Simon Zebo,0,0,0,0,3,3,118,118,1,1,14,14,Munster,,,,
Stephen Archer,1,1,0,0,0,0,19,8,0,0,17,11,Munster,,,,
Tadhg Beirne,1,1,0,0,1,1,47,47,2,2,32,32,Munster,,,,
Thomas Ahern,0,0,0,0,0,0,39,39,0,0,13,13,Munster,,,,
Tony Butler,0,0,0,0,0,0,0,0,0,0,0,0,Munster,,,,
Adam Beard,0,0,0,0,0,0,9,4,1,1,27,20,Ospreys,,,,
Alex Cuthbert,1,0,0,0,2,0,60,0,1,0,12,0,Ospreys,,,,
Alun Wyn Jones,0,0,0,0,0,0,25,11,5,2,32,22,Ospreys,,,,
Ben Warren,0,0,0,0,0,0,10,10,1,1,5,5,Ospreys,,,,
Bradley Davies,0,0,0,0,0,0,1,1,1,1,3,3,Ospreys,,,,
Cai Evans,0,0,0,0,0,0,14,14,1,1,8,8,Ospreys,,,,
Cameron Jones,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Dan Edwards,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Dan Evans,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Dan Lydiate,0,0,0,0,0,0,7,7,0,0,13,13,Ospreys,,,,
Dewi Lake,2,1,0,0,0,0,55,25,0,0,46,38,Ospreys,,,,
Elvis Taione,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Ethan Roots,0,0,0,0,1,1,141,88,1,0,48,35,Ospreys,,,,
Gareth Anscombe,1,1,0,0,1,1,61,61,1,1,10,10,Ospreys,,,,
Gareth Thomas,0,0,0,0,0,0,3,0,0,0,5,1,Ospreys,,,,
Garyn Phillips,0,0,0,0,0,0,4,4,1,1,9,9,Ospreys,,,,
George North,2,2,0,0,3,3,186,186,4,4,31,31,Ospreys,,,,
Harri Deaves,0,0,0,0,0,0,20,20,0,0,13,13,Ospreys,,,,
Harri Houston,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Harri Morgan,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Huw Sutton,1,1,0,0,1,1,36,36,1,1,20,20,Ospreys,,,,
Iestyn Hopkins,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Jac Morgan,1,1,0,0,2,2,160,124,3,2,55,43,Ospreys,,,,
Jack Regan,0,0,0,0,0,0,5,5,0,0,10,10,Ospreys,,,,
Jack Walsh,1,1,0,0,3,3,264,216,7,7,64,53,Ospreys,,,,
James Fender,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Joe Grabham,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Joe Hawkins,0,0,0,0,1,1,112,106,2,2,24,22,Ospreys,,,,
Justin Tipuric,0,0,0,0,2,2,16,14,3,2,18,14,Ospreys,,,,
Keelan Giles,4,4,0,0,12,11,356,332,5,5,43,40,Ospreys,,,,
Keiran Williams,2,1,0,0,4,2,177,82,2,1,34,20,Ospreys,,,,
Luke Morgan,1,1,0,0,1,1,147,147,3,3,26,26,Ospreys,,,,
Luke Scully,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Mat Protheroe,0,0,0,0,0,0,5,5,0,0,1,1,Ospreys,,,,
Matthew Aubrey,0,0,0,0,1,1,8,8,0,0,3,3,Ospreys,,,,
