Player,Try Match 11,Try Match 9,Assist Match 11,Assist Match 9,Breaks Match 11,Breaks Match 9,Metres Match 11,Metres Match 9,Offloads Match 11,Offloads Match 9,Carries Match 11,Carries Match 9,Team,,,,
Max Nagy,0,0,0,0,4,4,345,345,9,9,77,77,Ospreys,,,,
Mike Collins,0,0,0,0,3,2,198,107,8,6,55,45,Ospreys,,,,
Morgan Morris,2,2,0,0,2,2,258,252,5,5,98,88,Ospreys,,,,
Morgan Morse,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Nicky Smith,0,0,0,0,0,0,40,37,0,0,32,30,Ospreys,,,,
Osian Knott,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Owen Watkin,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Reuben Morgan-Williams,2,2,0,0,5,5,73,60,3,3,17,13,Ospreys,,,,
Rhys Davies,1,1,0,0,0,0,31,28,1,1,35,29,Ospreys,,,,
Rhys Henry,1,1,0,0,1,1,35,35,0,0,21,21,Ospreys,,,,
Rhys Webb,2,1,0,0,2,1,119,41,9,3,36,22,Ospreys,,,,
Sam Cross,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Sam Moore,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Sam Parry,3,1,0,0,0,0,28,24,0,0,14,10,Ospreys,,,,
Scott Baldwin,2,2,0,0,0,0,35,35,2,2,37,37,Ospreys,,,,
Stephen Myler,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Tiaan Thomas-Wheeler,1,1,0,0,2,2,34,34,3,3,17,17,Ospreys,,,,
Tom Botha,0,0,0,0,0,0,2,2,0,0,12,10,Ospreys,,,,
Tom Florence,0,0,0,0,0,0,0,0,0,0,0,0,Ospreys,,,,
Tomas Francis,0,0,0,0,0,0,5,1,2,2,6,5,Ospreys,,,,
Tristan Davies,0,0,0,0,0,0,0,0,0,0,1,1,Ospreys,,,,
Will Griffiths,0,0,0,0,0,0,25,25,0,0,11,11,Ospreys,,,,
Will Hickey,0,0,0,0,0,0,2,2,0,0,6,6,Ospreys,,,,
Aaron Shingler,0,0,0,0,0,0,58,27,7,4,29,20,Scarlets,,,,
Alex Jeffries,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Archie Hughes,0,0,0,0,0,0,0,0,0,0,1,1,Scarlets,,,,
Blade Thomson,0,0,0,0,3,3,106,106,8,8,43,43,Scarlets,,,,
Carwyn Tuipulotu,0,0,0,0,0,0,3,0,0,0,4,0,Scarlets,,,,
Corey Baldwin,0,0,0,0,2,2,110,110,1,1,17,17,Scarlets,,,,
Dafydd Hughes,2,2,0,0,0,0,24,24,2,2,20,20,Scarlets,,,,
Dan Davis,1,1,0,0,0,0,46,23,1,0,14,6,Scarlets,,,,
Dan Jones,0,0,0,0,0,0,27,24,1,1,16,14,Scarlets,,,,
Dane Blacker,1,0,0,0,2,1,96,71,2,1,11,9,Scarlets,,,,
Eddie James,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Gareth Davies,0,0,0,0,5,5,165,165,8,8,28,28,Scarlets,,,,
Harri O'Connor,0,0,0,0,0,0,13,13,0,0,25,25,Scarlets,,,,
Harri Williams,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Iestyn Rees,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Ioan Nicholas,0,0,0,0,0,0,30,30,0,0,5,5,Scarlets,,,,
Iwan Shenton,0,0,0,0,0,0,3,3,0,0,4,4,Scarlets,,,,
Jac Price,0,0,0,0,0,0,1,1,1,1,11,11,Scarlets,,,,
Javan Sebastian,0,0,0,0,0,0,5,5,0,0,22,22,Scarlets,,,,
Joe Roberts,0,0,0,0,0,0,48,0,1,0,9,0,Scarlets,,,,
Johnny McNicholl,3,1,0,0,10,7,607,487,15,12,87,72,Scarlets,,,,
Johnny Williams,2,2,0,0,4,4,144,144,2,2,32,32,Scarlets,,,,
Jonathan Davies,2,2,0,0,2,2,207,199,4,4,80,74,Scarlets,,,,
Josh Helps,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Josh Macleod,0,0,0,0,0,0,30,30,1,1,35,35,Scarlets,,,,
Kemsley Mathias,0,0,0,0,0,0,9,6,1,1,15,4,Scarlets,,,,
Ken Owens,0,0,0,0,0,0,38,27,0,0,39,28,Scarlets,,,,
Kieran Hardy,0,0,0,0,3,3,100,100,3,3,21,19,Scarlets,,,,
Leigh Halfpenny,0,0,0,0,2,1,152,139,0,0,40,35,Scarlets,,,,
Lewis Rawlins,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Luca Giannini,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Morgan Jones,0,0,0,0,0,0,9,9,0,0,12,12,Scarlets,,,,
Phil Price,0,0,0,0,0,0,0,0,0,0,2,2,Scarlets,,,,
Rhys Patchell,0,0,0,0,3,2,91,45,3,3,24,17,Scarlets,,,,
Ryan Conbeer,4,4,0,0,13,13,439,439,1,1,50,50,Scarlets,,,,
Ryan Elias,0,0,0,0,1,1,31,31,0,0,23,23,Scarlets,,,,
Sam Costelow,3,3,0,0,8,8,235,235,1,1,44,44,Scarlets,,,,
Sam Lousi,2,2,0,0,3,3,156,148,11,10,62,52,Scarlets,,,,
Sam O'Connor,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Samson Lee,0,0,0,0,0,0,0,0,0,0,0,0,Scarlets,,,,
Scott Williams,0,0,0,0,2,0,54,25,0,0,26,16,Scarlets,,,,
Shaun Evans,0,0,0,0,0,0,10,10,0,0,11,11,Scarlets,,,,
Sione Kalamafoni,2,1,0,0,2,2,426,375,7,5,150,131,Scarlets,,,,
Steff Evans,3,2,0,0,5,3,226,184,7,5,47,38,Scarlets,,,,
Steff Thomas,0,0,0,0,0,0,22,22,0,0,35,32,Scarlets,,,,
Taylor Davies,0,0,0,0,1,1,16,16,1,1,8,8,Scarlets,,,,
Tom Price,0,0,0,0,0,0,2,2,0,0,8,8,Scarlets,,,,
Tom Rogers,2,2,0,0,6,6,246,246,1,1,35,35,Scarlets,,,,
Tomas Lezana,0,0,0,0,0,0,4,4,0,0,5,5,Scarlets,,,,
Vaea Fifita,1,1,0,0,2,1,125,94,6,5,37,28,Scarlets,,,,
Willgriff John,0,0,0,0,0,0,7,0,0,0,12,0,Scarlets,,,,
Wyn Jones,0,0,0,0,0,0,8,8,0,0,17,17,Scarlets,,,,
Anthony Volmink,2,2,0,0,2,2,104,104,0,0,17,17,Sharks,,,,
Aphelele Fassi,4,4,0,0,6,6,260,260,5,5,40,40,Sharks,,,,
Ben Tapuai,0,0,0,0,1,1,105,105,4,4,27,27,Sharks,,,,
Boeta Chamberlain,1,0,0,0,7,4,370,202,4,3,52,37,Sharks,,,,
Bongi Mbonambi,2,1,0,0,0,0,34,22,0,0,13,7,Sharks,,,,
Bradley Davids,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Cameron Wright,0,0,0,0,0,0,39,39,1,1,9,9,Sharks,,,,
Carlu Sadie,0,0,0,0,0,0,19,16,0,0,19,14,Sharks,,,,
Curwin Bosch,1,1,0,0,2,2,49,24,2,0,17,7,Sharks,,,,
Dan Jooste,1,1,0,0,0,0,18,18,2,2,13,13,Sharks,,,,
Dian Bleuler,0,0,0,0,0,0,2,2,0,0,11,9,Sharks,,,,
Dylan Richardson,0,0,0,0,0,0,75,75,2,2,39,39,Sharks,,,,
Eben Etzebeth,0,0,0,0,0,0,28,15,4,2,11,5,Sharks,,,,
Eduan Keyter,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Fez Mbatha,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Francois Venter,0,0,0,0,2,2,62,62,3,3,20,20,Sharks,,,,
Fred Zeilinga,0,0,0,0,0,0,0,0,0,0,1,1,Sharks,,,,
Gerbrandt Grobler,0,0,0,0,0,0,32,12,3,2,25,12,Sharks,,,,
Grant Williams,3,1,0,0,4,2,215,119,2,2,25,16,Sharks,,,,
Hanru Jacobs,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Henco Venter,0,0,0,0,0,0,23,0,1,0,9,0,Sharks,,,,
Hyron Andrews,0,0,0,0,0,0,31,5,2,1,14,9,Sharks,,,,
Jaden Hendrikse,0,0,0,0,1,0,59,29,5,4,15,13,Sharks,,,,
James Venter,1,1,0,0,3,3,78,78,1,1,24,24,Sharks,,,,
Jeandre Labuschagne,0,0,0,0,0,0,11,11,0,0,5,5,Sharks,,,,
Justin Basson,0,0,0,0,0,0,2,2,0,0,3,3,Sharks,,,,
Kerron van Vuuren,1,1,0,0,0,0,49,45,0,0,20,18,Sharks,,,,
Khutha Mchunu,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Khwezi Mona,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Le Roux Roets,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Lionel Cronje,0,0,0,0,0,0,40,34,0,0,8,7,Sharks,,,,
Lukhanyo Am,0,0,0,0,1,0,69,0,3,0,12,0,Sharks,,,,
Makazole Mapimpi,2,0,0,0,5,2,245,99,1,1,31,15,Sharks,,,,
Marnus Potgieter,1,1,0,0,4,3,160,121,1,0,25,20,Sharks,,,,
Mpilo Gumede,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Muller du Plessis,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Murray Koster,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Nevaldo Fleurs,0,0,0,0,0,0,0,0,0,0,1,1,Sharks,,,,
Ntuthuko Mchunu,0,0,0,0,1,1,41,41,2,2,18,18,Sharks,,,,
Ox Nche,0,0,0,0,0,0,19,16,1,1,10,9,Sharks,,,,
Phepsi Buthelezi,1,1,0,0,2,2,294,234,4,4,67,52,Sharks,,,,
Reniel Hugo,1,1,0,0,1,1,19,19,3,3,10,10,Sharks,,,,
Rohan Janse van Rensburg,3,1,0,0,6,3,217,107,10,5,42,22,Sharks,,,,
Sikhumbuzo Notshe,1,1,0,0,2,1,154,89,4,3,47,26,Sharks,,,,
Siya Kolisi,1,0,0,0,4,1,113,26,2,0,12,4,Sharks,,,,
Thaakir Abrahams,3,3,0,0,5,5,177,177,0,0,20,20,Sharks,,,,
Thembelani Bholi,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Thomas du Toit,0,0,0,0,0,0,53,28,1,0,28,17,Sharks,,,,
Tino Mavesere,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Vincent Tshituka,0,0,0,0,0,0,52,52,4,4,22,22,Sharks,,,,
Werner Kok,3,3,0,0,6,6,195,195,1,1,20,20,Sharks,,,,
Yaw Penxe,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Zee Mkhabela,0,0,0,0,0,0,0,0,0,0,0,0,Sharks,,,,
Adre Smith,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Alapati Leiua,0,0,0,0,0,0,21,21,0,0,10,10,Stormers,,,,
Ali Vermaak,0,0,0,0,0,0,2,2,1,1,7,7,Stormers,,,,
Andre-Hugo Venter,1,1,0,0,1,1,49,45,1,1,19,18,Stormers,,,,
Angelo Davids,3,1,0,0,8,4,285,188,4,1,31,21,Stormers,,,,
Ben-Jason Dixon,0,0,0,0,1,1,37,22,2,0,17,6,Stormers,,,,
Brok Harris,0,0,0,0,0,0,0,0,0,0,3,3,Stormers,,,,
Chad Solomon,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Chris Hollis,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Clayton Blommetjies,1,1,0,0,4,4,481,460,11,11,85,81,Stormers,,,,
Connor Evans,0,0,0,0,0,0,6,0,0,0,6,2,Stormers,,,,
Cornel Smit,0,0,0,0,2,2,59,59,3,3,12,12,Stormers,,,,
Damian Willemse,1,0,0,0,3,0,202,49,6,3,42,15,Stormers,,,,
Dan du Plessis,2,1,0,0,6,5,340,290,10,9,74,60,Stormers,,,,
Deon Fourie,2,1,0,0,1,1,24,7,1,1,15,7,Stormers,,,,
Ernst van Rhyn,1,1,0,0,0,0,17,17,2,2,13,13,Stormers,,,,
Evan Roos,1,1,0,0,4,4,164,164,6,6,42,42,Stormers,,,,
Frans Malherbe,0,0,0,0,0,0,1,1,0,0,3,3,Stormers,,,,
Gary Porter,0,0,0,0,0,0,14,14,0,0,7,7,Stormers,,,,
Godlen Masimla,0,0,0,0,0,0,0,0,0,0,1,1,Stormers,,,,
Hacjivah Dayimani,2,2,0,0,10,5,371,233,10,8,65,48,Stormers,,,,
Herschel Jantjies,2,2,0,0,1,1,22,22,0,0,4,4,Stormers,,,,
Imad Khan,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Jean-Luc du Plessis,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
JJ Kotze,0,0,0,0,0,0,11,11,2,2,6,6,Stormers,,,,
Joseph Dweba,3,2,0,0,0,0,56,40,1,1,30,24,Stormers,,,,
Juan de Jongh,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Junior Pokomela,3,3,0,0,0,0,45,49,2,1,17,15,Stormers,,,,
Kade Wolhuter,0,0,0,0,0,0,12,12,4,4,6,6,Stormers,,,,
Keke Morabe,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Kwenzo Blose,0,0,0,0,0,0,2,2,0,0,3,3,Stormers,,,,
Lee-Marvin Mazibuko,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Leolin Zas,3,2,0,0,10,7,366,235,2,1,32,22,Stormers,,,,
Leon Lyons,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Manie Libbok,1,1,0,0,6,5,298,138,8,8,55,35,Stormers,,,,
Marcel Theunissen,2,1,0,0,1,0,39,23,2,2,13,10,Stormers,,,,
Marvin Orie,0,0,0,0,0,0,19,8,1,0,23,20,Stormers,,,,
Mnombo Zwelendaba,0,0,0,0,0,0,2,2,0,0,1,1,Stormers,,,,
Nama Xaba,3,3,0,0,0,0,14,14,3,3,12,12,Stormers,,,,
Neethling Fouche,1,1,0,0,1,1,16,14,0,0,26,21,Stormers,,,,
Paul de Wet,1,1,0,0,3,2,106,80,9,5,32,22,Stormers,,,,
Ruhan Nel,1,1,0,0,2,2,67,67,3,3,11,11,Stormers,,,,
Sacha Feinberg-Mngomezulu,2,2,0,0,2,2,81,81,1,1,24,24,Stormers,,,,
Salmaan Moerat,0,0,0,0,0,0,4,4,1,1,13,13,Stormers,,,,
Sazi Sandi,0,0,0,0,0,0,1,1,0,0,4,3,Stormers,,,,
Scarra Ntubeni,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Seabelo Senatla,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Stefan Ungerer,0,0,0,0,0,0,0,0,0,0,0,0,Stormers,,,,
Steven Kitshoff,0,0,0,0,0,0,15,4,1,0,17,10,Stormers,,,,
Suleiman Hartzenberg,3,2,0,0,5,4,268,162,4,1,30,18,Stormers,,,,
Tristan Leyds,0,0,0,0,0,0,1,1,2,2,4,4,Stormers,,,,
Willie Engelbrecht,0,0,0,0,0,0,20,12,1,1,11,6,Stormers,,,,
Aaron Sexton,0,0,0,0,2,2,121,121,0,0,15,15,Ulster,,,,
Alan O'Connor,1,1,0,0,0,0,34,34,2,2,40,40,Ulster,,,,
Andrew Warwick,0,0,0,0,0,0,10,10,0,0,31,31,Ulster,,,,
Angus Curtis,0,0,0,0,0,0,1,1,0,0,7,7,Ulster,,,,
Ben Carson,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Ben Moxham,0,0,0,0,0,0,21,21,0,0,2,2,Ulster,,,,
Billy Burns,2,2,0,0,1,1,72,69,3,2,26,22,Ulster,,,,
Callum Reid,2,2,0,0,0,0,16,16,1,1,27,27,Ulster,,,,
Conor McKee,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Cormac Izuchukwu,0,0,0,0,0,0,37,37,1,1,24,24,Ulster,,,,
Craig Gilroy,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Dave Shanahan,0,0,0,0,0,0,0,0,0,0,1,1,Ulster,,,,
David McCann,0,0,0,0,0,0,23,23,0,0,18,18,Ulster,,,,
Declan Moore,0,0,0,0,1,1,9,9,1,1,3,3,Ulster,,,,
Duane Vermeulen,0,0,0,0,1,1,65,63,2,2,23,21,Ulster,,,,
Eric O'Sullivan,0,0,0,0,0,0,27,27,0,0,23,21,Ulster,,,,
Ethan Mcilroy,1,1,0,0,3,2,249,200,3,1,29,25,Ulster,,,,
Frank Bradshaw-Ryan,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Gareth Milasinovich,0,0,0,0,0,0,5,0,0,0,5,0,Ulster,,,,
George Saunderson,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Greg Jones,0,0,0,0,0,0,2,0,0,0,5,3,Ulster,,,,
Harry Sheridan,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Iain Henderson,0,0,0,0,0,0,22,2,1,1,25,10,Ulster,,,,
Ian Madigan,0,0,0,0,0,0,5,5,0,0,5,5,Ulster,,,,
Jacob Stockdale,0,0,0,0,3,3,340,251,5,5,56,44,Ulster,,,,
Jake Flannery,0,0,0,0,0,0,8,8,0,0,3,3,Ulster,,,,
James Hume,1,1,0,0,1,1,57,44,4,3,29,23,Ulster,,,,
James Humphreys,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
James McCormick,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
James McNabney,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Jeff Toomaga-Allen,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
John Andrew,3,3,0,0,0,0,58,58,1,1,28,28,Ulster,,,,
John Cooney,2,2,0,0,5,5,64,52,1,1,17,13,Ulster,,,,
Jordi Murphy,1,1,0,0,0,0,23,23,1,1,23,23,Ulster,,,,
Jude Postlethwaite,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Kieran Treadwell,1,1,0,0,0,0,19,17,1,1,26,22,Ulster,,,,
Lorcan McLoughlin,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Luke Marshall,3,3,0,0,6,6,210,210,3,3,56,56,Ulster,,,,
Marcus Rea,2,2,0,0,0,0,75,75,2,2,46,46,Ulster,,,,
Marty Moore,1,1,0,0,0,0,15,8,1,1,36,27,Ulster,,,,
Matty Rea,1,1,0,0,0,0,80,80,2,2,41,41,Ulster,,,,
Michael McDonald,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Mike Lowry,0,0,0,0,4,4,412,412,7,7,68,68,Ulster,,,,
Nathan Doak,1,1,0,0,4,3,48,31,1,1,26,14,Ulster,,,,
Nick Timoney,0,0,0,0,1,1,140,140,1,1,51,51,Ulster,,,,
Reuben Crothers,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Rob Herring,2,2,0,0,0,0,25,25,1,1,16,16,Ulster,,,,
Rob Lyttle,1,1,0,0,1,1,85,85,6,6,13,13,Ulster,,,,
Robert Baloucoune,2,1,0,0,5,3,176,124,3,2,18,10,Ulster,,,,
Rory Sutherland,0,0,0,0,0,0,10,2,0,0,22,4,Ulster,,,,
Sam Carter,3,3,0,0,0,0,50,43,0,0,50,46,Ulster,,,,
Scott Wilson,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Sean Reffell,0,0,0,0,0,0,11,0,0,0,8,0,Ulster,,,,
Shea O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Stewart Moore,2,2,0,0,5,5,291,242,4,3,53,42,Ulster,,,,
Stuart McCloskey,2,2,0,0,2,2,209,162,12,10,78,58,Ulster,,,,
Tom O'Toole,1,1,0,0,1,1,45,45,0,0,32,32,Ulster,,,,
Tom Stewart,6,4,0,0,3,2,224,134,4,1,72,39,Ulster,,,,
Will Addison,0,0,0,0,0,0,0,0,0,0,0,0,Ulster,,,,
Alessandro Fusco,1,1,0,0,3,2,109,66,3,3,27,22,Zebre,,,,
Alessio Sanavia,0,0,0,0,0,0,1,1,2,2,6,6,Zebre,,,,
Andrea Zambonin,1,1,0,0,2,1,39,12,2,1,20,13,Zebre,,,,
Chris Cook,1,1,0,0,2,2,47,47,5,5,19,19,Zebre,,,,
Damiano Mazza,0,0,0,0,2,2,78,78,3,3,19,19,Zebre,,,,
Daniele Rimpelli,0,0,0,0,0,0,0,0,0,0,1,1,Zebre,,,,
Dave Sisi,0,0,0,0,0,0,47,47,2,2,33,33,Zebre,,,,
Davide Ruggeri,0,0,0,0,0,0,65,65,2,2,30,30,Zebre,,,,
Enrico Lucchin,0,0,0,0,2,2,143,88,5,3,56,37,Zebre,,,,
Erich Cronje,2,1,0,0,2,1,118,53,3,2,22,13,Zebre,,,,
Franco Smith,1,1,0,0,1,1,36,36,0,0,8,8,Zebre,,,,
Gabriele Venditti,1,1,0,0,1,1,54,54,2,2,23,23,Zebre,,,,
Geronimo Prisciantelli,0,0,0,0,0,0,169,169,10,10,57,57,Zebre,,,,
Giacomo Ferrari,0,0,0,0,0,0,18,10,0,0,12,7,Zebre,,,,
Giampietro Ribaldi,0,0,0,0,1,1,11,11,0,0,11,11,Zebre,,,,
Gonzalo Garcia,0,0,0,0,1,1,1,1,0,0,1,1,Zebre,,,,
Guido Volpi,0,0,0,0,0,0,14,14,0,0,10,10,Zebre,,,,
Ion Neculai,1,1,0,0,2,2,48,48,0,0,22,22,Zebre,,,,
Jacopo Bianchi,0,0,0,0,0,0,35,0,1,0,46,0,Zebre,,,,
Jacopo Trulla,3,2,0,0,4,2,367,203,2,2,42,31,Zebre,,,,
Jacques du Toit,2,2,0,0,0,0,10,10,1,1,20,20,Zebre,,,,
Jan Uys,0,0,0,0,0,0,5,4,1,0,10,8,Zebre,,,,
Josh Furno,0,0,0,0,0,0,19,5,2,1,12,7,Zebre,,,,
Juan Manuel Pittinari,0,0,0,0,0,0,12,12,1,1,20,17,Zebre,,,,
Kobus van Wyk,0,0,0,0,0,0,23,2,1,0,7,1,Zebre,,,,
Latu Latunipulu,0,0,0,0,1,1,107,107,1,1,16,16,Zebre,,,,
Leonardo Krumov,0,0,0,0,0,0,0,0,0,0,0,0,Zebre,,,,
Lorenzo Pani,3,3,0,0,6,6,396,329,7,5,57,44,Zebre,,,,
Luca Andreani,0,0,0,0,3,0,48,0,1,0,24,0,Zebre,,,,
Luca Bigi,2,0,0,0,1,3,21,43,0,1,13,18,Zebre,,,,
Luca Rizzoli,1,1,0,0,0,0,15,15,0,0,14,14,Zebre,,,,
Marco Manfredi,0,0,0,0,1,1,56,39,0,0,28,20,Zebre,,,,
Matt Kvesic,0,0,0,0,0,0,22,22,2,2,16,16,Zebre,,,,
Matteo Nocera,0,0,0,0,0,0,29,29,1,1,27,27,Zebre,,,,
MJ Pelser,2,2,0,0,4,4,87,87,3,3,28,28,Zebre,,,,
Muhamed Hasa,0,0,0,0,0,0,54,54,1,1,19,19,Zebre,,,,
Nicolo Casilio,0,0,0,0,0,0,3,3,1,1,3,3,Zebre,,,,
Nicolo Teneggi,0,0,0,0,0,0,12,0,1,0,6,1,Zebre,,,,
Paolo Buonfiglio,0,0,0,0,0,0,0,0,0,0,0,0,Zebre,,,,
Pierre Bruno,2,2,0,0,7,7,286,286,12,12,44,44,Zebre,,,,
Ratko Jelic,0,0,0,0,0,0,23,10,3,1,9,3,Zebre,,,,
Riccardo Genovese,0,0,0,0,0,0,0,0,0,0,3,1,Zebre,,,,
Richard Kriel,1,1,0,0,3,3,175,175,4,4,31,31,Zebre,,,,
Simone Gesi,2,2,0,0,7,7,142,142,5,5,32,32,Zebre,,,,
Taina Fox-Matamua,1,1,0,0,1,0,238,143,3,3,60,39,Zebre,,,,
Tiff Eden,0,0,0,0,0,0,95,48,5,4,24,18,Zebre,,,,
Tommaso Boni,0,0,0,0,0,0,78,78,3,3,19,19,Zebre,,,,
